phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,10,,10,1421183736,58367984,5807.135,5872.546,5888.237,5929.827,0.81,230.79,1.9360,10,44678,508896,518942.72,538.911,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,12,,12,1421183736,58367984,5245.103,5273.827,5259.730,5326.055,0.61,256.99,2.1558,12,44678,508896,518942.72,546.472,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,2,,2,1421183736,58367984,5821.627,6775.393,6537.886,7865.915,14.78,200.04,1.6781,2,44678,508896,518942.72,527.032,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,4,,4,1421183736,58367984,4334.657,5293.647,4896.075,6725.942,19.28,256.03,2.1478,4,44678,508896,518942.72,537.939,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,6,,6,1421183736,58367984,3815.814,5194.013,5844.090,6123.411,22.05,260.94,2.1890,6,44678,508896,518942.72,516.647,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_dynamic,8,,8,1421183736,58367984,3533.595,5782.483,6362.300,6372.863,21.75,234.39,1.9662,8,44678,508896,518942.72,521.500,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_dynamic__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,1,,1,1421183736,58367984,10347.489,10479.791,10379.151,10893.114,2.23,129.33,1.0849,1,44678,508896,518942.72,491.182,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,10,,10,1421183736,58367984,3434.528,4667.227,4343.139,6027.292,24.57,290.40,2.4360,10,44678,508896,518942.72,537.690,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,12,,12,1421183736,58367984,3349.953,4920.387,5341.769,5410.418,17.96,275.46,2.3107,12,44678,508896,518942.72,553.506,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_prefetch,2,,2,1421183736,58367984,5792.778,6708.705,6625.329,7702.332,13.73,202.03,1.6947,2,44678,508896,518942.72,521.039,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_prefetch__T2.log
